Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Corsair 9000D RGB AIRFLOW,Corsair ,CC-9011273-WW ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 400 mm</li> 15.748""</li> "," 5 x Internal 3.5""</li> 6 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> 480 mm</li> ," 698 mm x 307 mm x 698 mm</li> 27.48"" x 12.087"" x 27.48""</li> ", 149.572 L</li> 5.282 ft³</li> ,
Lian Li Vector V100R,Lian Li , V100RW | G99.V100RW.00 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 466 mm x 235.5 mm x 484.65 mm</li> 18.346"" x 9.272"" x 19.081""</li> ", 53.187 L</li> 1.878 ft³</li> ,
Fractal Design Pop XL Air,Fractal Design ,FD-C-POR1X-06 ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 455 mm</li> 17.913""</li> "," 2 x External 5.25""</li> 3 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 522 mm x 230 mm x 520 mm</li> 20.551"" x 9.055"" x 20.472""</li> ", 62.431 L</li> 2.205 ft³</li> ,
NZXT H5 Flow (2024),NZXT ,CC-H52FW-01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> Bottom: 2 x 120 mm</li> , Front: 1 x 120 mm (PWM)</li> Rear: 1 x 120 mm (PWM)</li> , Front: 360 / 240 / 120 mm</li> Top: 280 / 240 / 140 / 120 mm</li> ," 430 mm x 225 mm x 465 mm</li> 16.929"" x 8.858"" x 18.307""</li> ", 44.989 L</li> 1.589 ft³</li> ,
HYTE Y70,HYTE ,CS-HYTE-Y70-B ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> ","2 x Internal 3.5"" ", 7 x Half-Height</li> 4 x Full-Height via Riser</li> , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 2 x 140 mm</li> Right: 3 x 120 mm / 2 x 140 mm</li> ,, Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Right: 360 / 280 / 240 / 140 / 120 mm</li> ," 470 mm x 320 mm x 470 mm</li> 18.504"" x 12.598"" x 18.504""</li> ", 70.688 L</li> 2.496 ft³</li> ,
NZXT H2 Flow,NZXT ,CI-H21FB-01 ,Mini ITX Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ," 331 mm</li> 13.031""</li> ","2 x Internal 2.5"" ",3 x Full-Height via Riser , Front: 2 x 120 mm / 2 x 140 mm</li> Top: 2 x 120 mm</li> ,Top: 2 x 120 mm (PWM) ,Front: 280 / 240 / 140 / 120 mm ," 263 mm x 181 mm x 435 mm</li> 10.354"" x 7.126"" x 17.126""</li> ", 20.707 L</li> 0.731 ft³</li> ,
Montech AIR 903 MAX,Montech , AIR 903 MAX (B) | AIR 903 MAX B | AIR 903 MAX BLACK | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 478 mm x 230 mm x 493 mm</li> 18.819"" x 9.055"" x 19.409""</li> ", 54.2 L</li> 1.914 ft³</li> ,
Corsair FRAME 4000D,Corsair ,CC-9011290-WW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> ","2 x Internal 3.5"" ", 7 x Full-Height</li> 3 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 487 mm x 239 mm x 487 mm</li> 19.173"" x 9.409"" x 19.173""</li> ", 56.683 L</li> 2.002 ft³</li> ,
Corsair 3500X,Corsair ,CC-9011276-WW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 460 mm x 240 mm x 506 mm</li> 18.11"" x 9.449"" x 19.921""</li> ", 55.862 L</li> 1.973 ft³</li> ,
MSI MAG FORGE 321R AIRFLOW,MSI ,MAG FORGE 321R AIRFLOW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 472.5 mm x 210 mm x 498 mm</li> 18.602"" x 8.268"" x 19.606""</li> ", 49.414 L</li> 1.745 ft³</li> ,
NZXT H6 Flow,NZXT ,CC-H61FW-01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 365 mm</li> 14.37""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 415 mm x 287 mm x 435 mm</li> 16.339"" x 11.299"" x 17.126""</li> ", 51.811 L</li> 1.83 ft³</li> ,
Montech AIR 100 ARGB,Montech , AIR 100 ARGB Black | K005 | AIR-100-ARGB-BK | K21004160003 | AIR 100 ARGB (B) | ,MicroATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 405 mm x 210 mm x 425 mm</li> 15.945"" x 8.268"" x 16.732""</li> ", 36.146 L</li> 1.276 ft³</li> ,
Montech XR,Montech , XR-W | XR (W) | XR-WH | Montech_XR (W) | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Motherboard Tray: 2 x 120 mm</li> PSU Shroud: 3 x 120 mm</li> , Rear: 1 x 120 mm (ARGB PWM)</li> Motherboard Tray: 2 x 120 mm (Reversed ARGB PWM)</li> , Rear: 140 / 120 mm</li> Top: 360 / 240 / 140 / 120 mm</li> ," 435 mm x 230 mm x 450 mm</li> 17.126"" x 9.055"" x 17.717""</li> ", 45.023 L</li> 1.59 ft³</li> ,
Jonsbo D32 PRO,Jonsbo ,D32 PRO Black ,MicroATX Desktop ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 365 mm</li> 14.37""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> ," 396 mm x 207 mm x 314 mm</li> 15.591"" x 8.15"" x 12.362""</li> ", 25.739 L</li> 0.909 ft³</li> ,
Fractal Design Meshify C,Fractal Design ,FD-CA-MESH-C-BKO-TG ,ATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 315 mm</li> 12.402""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 413 mm x 217 mm x 453 mm</li> 16.26"" x 8.543"" x 17.835""</li> ", 40.598 L</li> 1.434 ft³</li> ,
Lian Li LANCOOL 216 RGB,Lian Li , LANCOOL 216RX | G99.LAN216RX.00 | PC-LAN216RX | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 392 mm</li> 15.433""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 480.9 mm x 235 mm x 491.7 mm</li> 18.933"" x 9.252"" x 19.358""</li> ", 55.568 L</li> 1.962 ft³</li> ,
Cooler Master MasterBox NR200,Cooler Master ,MCB-NR200-KNNN-S00 ,Mini ITX Desktop ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , Mini DTX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",3 x Full-Height , 92 mm</li> 120 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 376 mm x 185 mm x 292 mm</li> 14.803"" x 7.283"" x 11.496""</li> ", 20.312 L</li> 0.717 ft³</li> ,
Lian Li Vector V100,Lian Li ,V100X ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 466 mm x 235.5 mm x 484.65 mm</li> 18.346"" x 9.272"" x 19.081""</li> ", 53.187 L</li> 1.878 ft³</li> ,
Lian Li O11D EVO RGB,Lian Li , O11DERGBW | G99.O11DERGBW.00 | PC-O11DERGBW | ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 455.7 mm</li> 17.941""</li> "," 4 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 478 mm x 290 mm x 471 mm</li> 18.819"" x 11.417"" x 18.543""</li> ", 65.29 L</li> 2.306 ft³</li> ,
Lian Li O11 Dynamic EVO XL,Lian Li , O11DEXL-W | PC-O11DEXL-W | G99.O11DEXL-W.00 | ,ATX Full Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 460 mm</li> 18.11""</li> "," 4 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 522 mm x 304 mm x 531.9 mm</li> 20.551"" x 11.969"" x 20.941""</li> ", 84.406 L</li> 2.981 ft³</li> ,
NZXT H7 Flow (2024),NZXT ,CM-H72FB-01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 468 mm x 244 mm x 544 mm</li> 18.425"" x 9.606"" x 21.417""</li> ", 62.12 L</li> 2.194 ft³</li> ,
Lian Li A3-mATX,Lian Li , A3X-WDG | PC-A3X-WDG | G99.A3X-WDG.00 | ,MicroATX Mini Tower ,Black / Brown ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Left: 3 x 120 mm / 2 x 140 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Left: 360 / 280 / 240 / 140 / 120 mm</li> ," 443 mm x 194 mm x 306 mm</li> 17.441"" x 7.638"" x 12.047""</li> ", 26.298 L</li> 0.929 ft³</li> ,
Fractal Design Terra,Fractal Design ,FD-C-TER1N-03 ,Mini ITX Desktop ,Green / Brown ,None ,Mesh ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ," 322 mm</li> 12.677""</li> ","2 x Internal 2.5"" ",3 x Full-Height via Riser ,120 mm ,,," 343 mm x 153 mm x 218 mm</li> 13.504"" x 6.024"" x 8.583""</li> ", 11.44 L</li> 0.404 ft³</li> ,
Lian Li A4-H20 X4,Lian Li , A4-H20 X4 | A4-H20 X4 Black | A4-H2O X4 Black | A4-H2O X4 | G99.A4H2OX4.00 | ,Mini ITX Desktop ,Black ,None ,Mesh ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ," 322 mm</li> 12.677""</li> ","1 x Internal 2.5"" ",3 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> ," 326 mm x 140 mm x 244 mm</li> 12.835"" x 5.512"" x 9.606""</li> ", 11.136 L</li> 0.393 ft³</li> ,
BGears b-Vortex-RGB,BGears ,b-Vortex-RGB ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> 360 mm</li> ," 380 mm x 210 mm x 480 mm</li> 14.961"" x 8.268"" x 18.898""</li> ", 38.304 L</li> 1.353 ft³</li> ,
Antec C5 ARGB,Antec , 0-761345-10033-5 | C5 ARGB BLACK | C5 ARGB | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ,,,
Asus ROG Strix Helios,Asus , GX601 | HELIOS GX601 | ROG-STRIX-HELIOS | 90DC0020-B38000 | 90DC0020-B39000 | ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 450 mm</li> 17.717""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ", 8 x Full-Height</li> 2 x Full-Height via Riser</li> , Front: 3 x 120 mm / 3 x 140 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> , Front: 3 x 140 mm</li> Rear: 1 x 140 mm</li> , Front: 420 / 360 / 280 / 240 / 140 / 120 mm</li> Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> ," 565 mm x 250 mm x 591 mm</li> 22.244"" x 9.843"" x 23.268""</li> ", 83.479 L</li> 2.948 ft³</li> ,
Antec C8,Antec , C8 | 0-761345-10019-9 | ,ATX Full Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 440 mm</li> 17.323""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 464 mm x 303 mm x 476 mm</li> 18.268"" x 11.929"" x 18.74""</li> ", 66.922 L</li> 2.363 ft³</li> ,
NZXT H9 Flow RGB+ (2025),NZXT , CM-H92FB-P1 | CM-H92FB-P2 | ,ATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 459 mm</li> 18.071""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 481 mm x 315 mm x 506 mm</li> 18.937"" x 12.402"" x 19.921""</li> ", 76.667 L</li> 2.707 ft³</li> ,
NZXT H3 Flow,NZXT , CC-H31FW-01 | CC-H31FW-02 | ,MicroATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 377 mm</li> 14.843""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 389 mm x 225 mm x 400 mm</li> 15.315"" x 8.858"" x 15.748""</li> ", 35.01 L</li> 1.236 ft³</li> ,
Phanteks XT M3,Phanteks ,PH-XT325M_BK01 ,MicroATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Front: 2 x 120 mm</li> Rear: 1 x 120 mm</li> Top: 3 x 120 mm</li> Bottom: 3 x 120 mm</li> ,,Top: 360 / 240 / 120 mm ," 460 mm x 235 mm x 370 mm</li> 18.11"" x 9.252"" x 14.567""</li> ", 39.997 L</li> 1.412 ft³</li> ,
Montech KING 95 PRO,Montech , KING 95 PRO (Black) | KING 95 PRO (B) | KING95PROB | KING 95 PRO BK | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 5 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 475 mm x 300 mm x 442 mm</li> 18.701"" x 11.811"" x 17.402""</li> ", 62.985 L</li> 2.224 ft³</li> ,
Fractal Design North,Fractal Design ,FD-C-NOR1C-01 ,ATX Mid Tower ,Black ,None ,Mesh ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 355 mm</li> 13.976""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> Left: 2 x 120 mm / 2 x 140 mm</li> ,Front: 2 x 140 mm (PWM) , Front: 360 / 280 / 240 / 140 / 120 mm</li> Rear: 120 mm</li> Top: 240 / 120 mm</li> ," 447 mm x 215 mm x 469 mm</li> 17.598"" x 8.465"" x 18.465""</li> ", 45.073 L</li> 1.592 ft³</li> ,
Deepcool CG530 4F,Deepcool ,R-CG530-BKADA4-G-1 ,ATX Mid Tower ,Black ,None ,Tinted Acrylic ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 440 mm x 285 mm x 399 mm</li> 17.323"" x 11.22"" x 15.709""</li> ", 50.035 L</li> 1.767 ft³</li> ,
Fractal Design Ridge PCIe 4.0,Fractal Design ,FD-C-RID1N-11 ,Mini ITX Tower ,Black ,None ,Mesh ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ," 335 mm</li> 13.189""</li> ","4 x Internal 2.5"" ",3 x Full-Height via Riser , 80 mm</li> 120 mm</li> 140 mm</li> ,,," 374 mm x 110 mm x 395 mm</li> 14.724"" x 4.331"" x 15.551""</li> ", 16.25 L</li> 0.574 ft³</li> ,
Corsair 7000D AIRFLOW,Corsair ,CC-9011218WW ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 450 mm</li> 17.717""</li> "," 6 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> 480 mm</li> ," 550 mm x 248 mm x 600 mm</li> 21.654"" x 9.764"" x 23.622""</li> ", 81.84 L</li> 2.89 ft³</li> ,
Montech AIR 903 BASE,Montech , AIR 903 BASE (B) | AIR 903 BASE B | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 478 mm x 230 mm x 493 mm</li> 18.819"" x 9.055"" x 19.409""</li> ", 54.2 L</li> 1.914 ft³</li> ,
Silverstone FLP02,Silverstone , SST-FLP02W | FLP02W | CS-FLP02W | ,ATX Mid Tower ,White ,None ,None ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> SSI CEB</li> ," 386 mm</li> 15.197""</li> "," 3 x External 5.25""</li> 4 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 7 x Full-Height</li> 2 x Full-Height via Riser</li> , Front: 2 x 120 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm / 2 x 160 mm</li> , Front: 2 x 120 mm (PWM)</li> Rear: 1 x 120 mm (PWM)</li> , Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> ," 472 mm x 232 mm x 494 mm</li> 18.583"" x 9.134"" x 19.449""</li> ", 54.095 L</li> 1.91 ft³</li> ,
NZXT H9 Flow RGB+ (2025),NZXT , CM-H92FW-P1 | CM-H92FW-P2 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 459 mm</li> 18.071""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 481 mm x 315 mm x 506 mm</li> 18.937"" x 12.402"" x 19.921""</li> ", 76.667 L</li> 2.707 ft³</li> ,
Corsair 3000D AIRFLOW,Corsair ,CC-9011251-WW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 360 mm</li> 14.173""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 462 mm x 230 mm x 466 mm</li> 18.189"" x 9.055"" x 18.346""</li> ", 49.517 L</li> 1.749 ft³</li> ,
